
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank

TOTAL                                        -59,527.2    -137,901.4           (X)     128,097.6     253,316.2           (X)

Afghanistan                                       83.4         117.3           206          84.9         123.5            81
Albania                                            0.9          -1.8            94           7.3          10.4           156
Algeria                                         -278.6        -680.5            30          72.8         113.5            83
Andorra                                           -0.7          -2.6            93           0.3           0.4           204
Angola                                           -42.2        -149.7            50          23.4          58.5           105
Anguilla                                           8.3          13.7           169           8.5          15.5           141
Antigua and Barbuda                               34.8          94.7           200          35.2          95.2            89
Argentina                                        274.9         726.1           224         708.2       1,509.7            29
Armenia                                            0.9          -4.0            89           5.1           8.3           161
Aruba                                             62.6         101.4           202          65.0         104.8            86
Australia*                                     1,353.9       2,444.5           231       1,957.4       3,895.9            16
Austria                                         -596.8      -1,198.4            19         313.1         610.5            47
Azerbaijan                                        14.8         -86.3            55          15.9          32.8           123

Bahamas                                          150.5         341.7           219         178.1         391.7            56
Bahrain*                                           3.0         -26.4            73          74.0         135.8            78
Bangladesh                                      -342.2        -811.5            27         162.5         246.3            67
Barbados                                          29.9          77.5           196          33.3          85.8            92
Belarus                                          -31.8         -47.5            64           8.6          17.9           137
Belgium                                        1,276.9       2,362.5           230       2,478.4       4,831.0            13
Belize                                            23.8          43.1           183          26.1          47.1           116
Benin                                             26.8          45.6           184          27.9          49.0           113
Bermuda                                           37.4         126.9           208          38.0         129.1            79
Bhutan                                             0.3           0.7           134           0.3           0.7           197
Bolivia                                           -1.9          -8.0            84          35.9          79.1            94
Bosnia and Herzegovina                            -8.5         -13.3            82           3.1           5.1           175
Botswana                                          -8.0         -44.4            65           7.5          14.4           144
Brazil                                           971.3       1,194.3           227       2,949.6       5,934.5            10
British Indian Ocean Territories                   0.3           0.4           130           0.3           0.4           202
British Virgin Islands                            31.7          61.1           192          33.6          65.2           102
Brunei                                             7.1          12.5           167           7.9          14.7           142
Bulgaria                                         -33.1         -86.3            54          23.1          43.8           118
Burkina Faso                                       1.6           3.0           152           2.7           4.2           178
Burma                                            -12.5         -26.5            72          19.4          38.4           122
Burundi                                           -1.2          -1.7            95           0.1           0.2           209

Cabo Verde                                         1.0           0.9           136           1.1           1.3           194
Cambodia                                        -264.0        -564.4            32          30.7          56.4           107
Cameroon                                         -12.4           1.1           137          17.8          48.0           115
Canada**                                        -385.8      -4,090.3             8      23,533.8      46,101.0             1
Cayman Islands                                    54.4         124.0           207          56.2         127.7            80
Central African Republic                          -0.1          -0.3           107           0.1           0.2           210
Chad                                               2.4        -127.5            51           2.5           3.7           179
Chile*                                           -75.2        -243.8            43       1,055.8       2,094.6            21
China                                        -29,261.5     -65,214.3             1       9,806.1      19,641.4             3
Christmas Island                                   (-)          -0.1           113           (-)           (-)           221
Cocos (Keeling) Islands                           -0.1          -0.2           111           (-)           (-)           224
Colombia*                                       -300.3        -737.8            29         922.0       1,991.7            24
Comoros                                            (-)          -1.2            98           0.1           0.2           211
Congo (Brazzaville)                              -60.4         -63.9            57           6.0           9.8           160
Congo (Kinshasa)                                  -8.4         -13.7            81           3.6           7.7           165
Cook Islands                                       0.4           0.5           132           0.4           0.6           199
Costa Rica**                                      95.8         222.2           216         489.9         950.0            38
Cote d'Ivoire                                   -125.5        -234.0            44          26.9          81.4            93
Croatia                                           -1.0           (-)           117          36.6          65.5           101
Cuba                                              39.8          60.2           190          39.8          60.2           104
Curacao                                           84.7         175.2           213         126.7         221.5            69
Cyprus                                             0.5           2.1           143           5.7          13.4           146
Czech Republic                                  -170.3        -319.6            38         204.6         448.9            53

Denmark                                         -486.6      -1,003.2            22         214.4         379.9            57
Djibouti                                           3.3           9.2           162           4.5          12.5           149
Dominica                                          45.0          51.8           186          45.0          52.2           108
Dominican Republic**                             250.8         540.7           223         652.6       1,256.6            33

Ecuador                                          -10.7        -169.7            49         421.9         788.3            43
Egypt                                            277.6         528.5           222         407.3         789.1            42
El Salvador**                                     72.4         142.6           211         263.7         513.6            50
Equatorial Guinea                                -10.7         -21.2            75           2.1           5.5           173
Eritrea                                            0.1           0.3           128           0.1           0.3           206
Estonia                                          -12.6         -39.2            67          24.2          44.8           117
Ethiopia                                         -11.2         -17.2            78          13.6          25.5           132

Falkland Islands (Islas Malvinas)                  (-)          -0.6           104           (-)           (-)           220
Faroe Islands                                     -9.2         -16.1            80           0.1           0.5           201
Fiji                                              -5.2         -18.2            77           6.8          10.3           159
Finland                                         -435.0        -880.8            26         149.5         260.3            65
France                                        -1,251.2      -2,485.4            14       2,593.8       4,958.2            11
French Guiana                                    191.1         194.0           214         191.4         194.3            72
French Polynesia                                   0.6           5.6           156           8.2          16.1           139
French Southern and Antarctic Lands                0.1           0.1           125           0.1           0.1           212

Gabon                                            -24.1         -26.0            74          19.0          27.8           126
Gambia                                             3.4           5.8           158           3.4           5.9           170
Gaza Strip Administered by Israel                  (-)          -0.1           114           (-)           (-)           (X)
Georgia                                           40.7          60.2           191          46.4          91.0            90
Germany                                       -5,350.8     -10,736.7             3       4,644.1       9,047.0             6
Ghana                                             24.8          26.0           176          44.4          77.4            95
Gibraltar                                        102.2         136.8           210         102.3         136.9            77
Greece                                           -37.8        -100.8            53          55.5         113.4            84
Greenland                                         -2.0          -2.9            92           0.4           0.5           200
Grenada                                            7.3          17.2           171           8.2          19.2           136
Guadeloupe                                        13.1          25.4           175          13.2          26.1           130
Guatemala*                                       258.5         448.7           221         584.9       1,116.6            35
Guinea                                            21.1          29.3           179          21.4          30.1           124
Guinea-Bissau                                      0.1           0.3           127           0.1           0.3           207
Guyana                                            21.3          35.3           181          42.0          71.4            97

Haiti                                             41.0         103.1           204         114.9         233.1            68
Heard and McDonald Islands                         (-)           (-)           120           (-)           (-)           (X)
Honduras**                                        31.0          93.1           199         431.0         819.3            41
Hong Kong                                      3,582.7       5,990.6           233       4,013.9       6,946.0             9
Hungary                                         -241.7        -511.9            34         142.3         260.4            64

Iceland                                          -12.5         -38.3            68          23.8          40.4           119
India                                         -1,677.5      -3,885.1            10       2,279.1       4,498.5            14
Indonesia                                     -1,150.9      -2,389.1            15         551.0       1,122.0            34
Iran                                               9.2          13.3           168          11.6          20.4           134
Iraq                                          -1,079.4      -2,209.5            17         101.3         217.8            70
Ireland                                       -3,651.2      -7,165.4             5         830.4       1,871.9            26
Israel*                                         -228.6        -995.1            23       1,275.8       2,297.7            20
Italy                                         -2,383.5      -5,030.6             7       1,593.4       3,261.9            18

Jamaica                                          161.4         292.1           218         190.1         349.7            59
Japan                                         -5,503.0     -11,154.8             2       5,313.3      10,963.7             4
Jordan*                                          -17.2         -36.0            70         113.7         250.8            66

Kazakhstan                                        26.6         -35.2            71          72.1         101.7            87
Kenya                                              0.9          -3.5            90          53.1          95.3            88
Kiribati                                           0.1           (-)           122           0.3           0.3           205
Korea, North                                       (-)           (-)           (X)           (-)           (-)           (X)
Korea, South*                                   -683.1      -2,650.8            13       4,291.6       7,980.0             7
Kosovo                                             0.6           2.8           150           0.8           3.2           181
Kuwait                                            -6.9         -16.9            79         238.9         482.9            51
Kyrgyzstan                                         0.6           2.3           148           1.3           3.3           180

Laos                                             -10.4         -18.6            76           1.2           2.5           187
Latvia                                            -3.8         -63.0            58          20.5          48.2           114
Lebanon                                           60.5         130.7           209          66.3         143.1            76
Lesotho                                          -20.9         -51.7            61           (-)           0.1           216
Liberia                                           12.4          17.6           172          20.1          26.0           131
Libya                                             20.1        -192.2            45          25.9          49.0           112
Liechtenstein                                    -19.0         -48.6            63           1.2           2.3           189
